HomeTeam,AwayTeam,Penalties,Date,Time,Year,Home Team Goals,Away Team Goals,Total Goals Scored
Peru,Scotland,[],3 June 1978,16:45,1978,3,1,4
Netherlands,Iran,[],3 June 1978,16:45,1978,3,0,3
Italy,France,[],2 June 1978,13:45,1978,2,1,3
Argentina,Hungary,[],2 June 1978,19:15,1978,2,1,3
Italy,Hungary,[],6 June 1978,13:45,1978,3,1,4
Argentina,Italy,[],10 June 1978,19:15,1978,0,1,1
West Germany,Poland,[],1 June 1978,15:00,1978,0,0,0
Tunisia,Mexico,[],2 June 1978,16:45,1978,3,1,4
Poland,Tunisia,[],6 June 1978,16:45,1978,1,0,1
Argentina,France,[],6 June 1978,19:15,1978,2,1,3
Poland,Mexico,[],10 June 1978,16:45,1978,3,1,4
Austria,Spain,[],3 June 1978,13:45,1978,2,1,3
Brazil,Sweden,[],3 June 1978,13:45,1978,1,1,2
Austria,Sweden,[],7 June 1978,13:45,1978,1,0,1
Brazil,Spain,[],7 June 1978,13:45,1978,0,0,0
Spain,Sweden,[],11 June 1978,13:45,1978,1,0,1
West Germany,Tunisia,[],10 June 1978,16:45,1978,0,0,0
Brazil,Austria,[],11 June 1978,13:45,1978,1,0,1
Poland,Belgium,[],28 June 1982,21:00,1982,3,0,3
Brazil,New Zealand,[],23 June 1982,21:00,1982,4,0,4
Soviet Union,Scotland,[],22 June 1982,21:00,1982,2,2,4
Soviet Union,New Zealand,[],19 June 1982,21:00,1982,3,0,3
Brazil,Soviet Union,[],14 June 1982,21:00,1982,2,1,3
Scotland,New Zealand,[],15 June 1982,21:00,1982,5,2,7
Spain,Northern Ireland,[],25 June 1982,21:00,1982,0,1,1
Belgium,Soviet Union,[],1 July 1982,21:00,1982,0,1,1
Honduras,Yugoslavia,[],24 June 1982,21:00,1982,0,1,1
Brazil,Scotland,[],18 June 1982,21:00,1982,4,1,5
Soviet Union,Poland,[],4 July 1982,21:00,1982,0,0,0
France,Northern Ireland,[],4 July 1982,17:15,1982,4,1,5
West Germany,Spain,[],2 July 1982,21:00,1982,2,1,3
Spain,England,[],5 July 1982,21:00,1982,0,0,0
Italy,Argentina,[],29 June 1982,17:15,1982,2,1,3
Argentina,Brazil,[],2 July 1982,17:15,1982,1,3,4
Italy,Brazil,[],5 July 1982,17:15,1982,3,2,5
Austria,France,[],28 June 1982,17:15,1982,0,1,1
Austria,Northern Ireland,[],1 July 1982,17:15,1982,2,2,4
Poland,Italy,[],8 July 1982,17:15,1982,0,2,2
West Germany,France,['5–4'],8 July 1982,21:00,1982,3,3,6
Poland,France,[],10 July 1982,20:00,1982,3,2,5
Honduras,Northern Ireland,[],21 June 1982,21:00,1982,1,1,2
West Germany,England,[],29 June 1982,21:00,1982,0,0,0
Italy,West Germany,[],11 July 1982,20:00,1982,3,1,4
Spain,Yugoslavia,[],20 June 1982,21:00,1982,2,1,3
Spain,Honduras,[],16 June 1982,21:00,1982,1,1,2
Yugoslavia,Northern Ireland,[],17 June 1982,21:00,1982,0,0,0
Italy,Poland,[],14 June 1982,17:15,1982,0,0,0
Peru,Cameroon,[],15 June 1982,17:15,1982,0,0,0
Italy,Peru,[],18 June 1982,17:15,1982,1,1,2
Poland,Cameroon,[],19 June 1982,17:15,1982,0,0,0
Poland,Peru,[],22 June 1982,17:15,1982,5,1,6
Italy,Cameroon,[],23 June 1982,17:15,1982,1,1,2
Chile,Austria,[],17 June 1982,17:15,1982,0,1,1
West Germany,Chile,[],20 June 1982,17:15,1982,4,1,5
Algeria,Austria,[],21 June 1982,17:15,1982,0,2,2
Algeria,Chile,[],24 June 1982,17:15,1982,3,2,5
West Germany,Austria,[],25 June 1982,17:15,1982,1,0,1
West Germany,Algeria,[],16 June 1982,17:15,1982,1,2,3
Hungary,El Salvador,[],15 June 1982,21:00,1982,1,0,1
Argentina,Hungary,[],18 June 1982,21:00,1982,4,1,5
Belgium,El Salvador,[],19 June 1982,21:00,1982,1,0,1
Belgium,Hungary,[],22 June 1982,21:00,1982,1,1,2
Argentina,El Salvador,[],23 June 1982,21:00,1982,2,0,2
England,France,[],16 June 1982,17:15,1982,3,1,4
Czechoslovakia,Kuwait,[],17 June 1982,17:15,1982,1,1,2
England,Czechoslovakia,[],20 June 1982,17:15,1982,2,0,2
France,Kuwait,[],21 June 1982,17:15,1982,4,1,5
France,Czechoslovakia,[],24 June 1982,17:15,1982,1,1,2
Argentina,Belgium,[],13 June 1982,20:00,1982,0,1,1
England,Kuwait,[],25 June 1982,17:15,1982,1,0,1
Soviet Union,Belgium,[],15 June 1986,16:00,1986,3,4,7
Mexico,Bulgaria,[],15 June 1986,12:00,1986,2,0,2
Portugal,Morocco,[],11 June 1986,16:00,1986,1,3,4
England,Poland,[],11 June 1986,16:00,1986,3,0,3
Denmark,West Germany,[],13 June 1986,12:00,1986,2,0,2
Portugal,England,[],3 June 1986,16:00,1986,1,0,1
Morocco,Poland,[],2 June 1986,16:00,1986,0,0,0
Scotland,Uruguay,[],13 June 1986,12:00,1986,0,0,0
Brazil,Poland,[],16 June 1986,12:00,1986,4,0,4
England,Morocco,[],6 June 1986,16:00,1986,0,0,0
Argentina,Uruguay,[],16 June 1986,16:00,1986,1,0,1
Argentina,West Germany,[],29 June 1986,12:00,1986,3,2,5
Morocco,West Germany,[],17 June 1986,16:00,1986,0,1,1
