HomeTeam,Score,AwayTeam,Penalties,Date,Time,Year
Poland ,3–0, Belgium,[],28 June 1982,21:00,1982
Belgium ,0–1, Soviet Union,[],1 July 1982,21:00,1982
Soviet Union ,0–0, Poland,[],4 July 1982,21:00,1982
West Germany ,0–0, England,[],29 June 1982,21:00,1982
West Germany ,2–1, Spain,[],2 July 1982,21:00,1982
Spain ,0–0, England,[],5 July 1982,21:00,1982
Italy ,2–1, Argentina,[],29 June 1982,17:15,1982
Argentina ,1–3, Brazil,[],2 July 1982,17:15,1982
Italy ,3–2, Brazil,[],5 July 1982,17:15,1982
Austria ,0–1, France,[],28 June 1982,17:15,1982
Austria ,2–2, Northern Ireland,[],1 July 1982,17:15,1982
France ,4–1, Northern Ireland,[],4 July 1982,17:15,1982
Poland ,0–2, Italy,[],8 July 1982,17:15,1982
West Germany ,3–3 (a.e.t.), France,['5–4'],8 July 1982,21:00,1982
Poland ,3–2, France,[],10 July 1982,20:00,1982
Italy ,3–1, West Germany,[],11 July 1982,20:00,1982
Bulgaria ,1–1, Italy,[],31 May 1986,12:00,1986
Argentina ,3–1, South Korea,[],2 June 1986,12:00,1986
Italy ,1–1, Argentina,[],5 June 1986,12:00,1986
South Korea ,1–1, Bulgaria,[],5 June 1986,16:00,1986
South Korea ,2–3, Italy,[],10 June 1986,12:00,1986
Argentina ,2–0, Bulgaria,[],10 June 1986,12:00,1986
Belgium ,1–2, Mexico,[],3 June 1986,12:00,1986
Paraguay ,1–0, Iraq,[],4 June 1986,12:00,1986
Mexico ,1–1, Paraguay,[],7 June 1986,12:00,1986
Iraq ,1–2, Belgium,[],8 June 1986,12:00,1986
Paraguay ,2–2, Belgium,[],11 June 1986,12:00,1986
Iraq ,0–1, Mexico,[],11 June 1986,12:00,1986
Canada ,0–1, France,[],1 June 1986,16:00,1986
Soviet Union ,6–0, Hungary,[],2 June 1986,12:00,1986
France ,1–1, Soviet Union,[],5 June 1986,12:00,1986
Hungary ,2–0, Canada,[],6 June 1986,12:00,1986
Hungary ,0–3, France,[],9 June 1986,12:00,1986
Soviet Union ,2–0, Canada,[],9 June 1986,12:00,1986
Spain ,0–1, Brazil,[],1 June 1986,12:00,1986
Algeria ,1–1, Northern Ireland,[],3 June 1986,12:00,1986
Brazil ,1–0, Algeria,[],6 June 1986,12:00,1986
Northern Ireland ,1–2, Spain,[],7 June 1986,12:00,1986
Northern Ireland ,0–3, Brazil,[],12 June 1986,12:00,1986
Algeria ,0–3, Spain,[],12 June 1986,12:00,1986
Uruguay ,1–1, West Germany,[],4 June 1986,12:00,1986
Scotland ,0–1, Denmark,[],4 June 1986,16:00,1986
West Germany ,2–1, Scotland,[],8 June 1986,12:00,1986
Denmark ,6–1, Uruguay,[],8 June 1986,16:00,1986
Denmark ,2–0, West Germany,[],13 June 1986,12:00,1986
Scotland ,0–0, Uruguay,[],13 June 1986,12:00,1986
Morocco ,0–0, Poland,[],2 June 1986,16:00,1986
Portugal ,1–0, England,[],3 June 1986,16:00,1986
England ,0–0, Morocco,[],6 June 1986,16:00,1986
Poland ,1–0, Portugal,[],7 June 1986,16:00,1986
England ,3–0, Poland,[],11 June 1986,16:00,1986
Portugal ,1–3, Morocco,[],11 June 1986,16:00,1986
Mexico ,2–0, Bulgaria,[],15 June 1986,12:00,1986
Soviet Union ,3–4 (a.e.t.), Belgium,[],15 June 1986,16:00,1986
Brazil ,4–0, Poland,[],16 June 1986,12:00,1986
Argentina ,1–0, Uruguay,[],16 June 1986,16:00,1986
Italy ,0–2, France,[],17 June 1986,12:00,1986
Morocco ,0–1, West Germany,[],17 June 1986,16:00,1986
England ,3–0, Paraguay,[],18 June 1986,12:00,1986
Denmark ,1–5, Spain,[],18 June 1986,16:00,1986
Brazil ,1–1 (a.e.t.), France,['3–4'],21 June 1986,12:00,1986
West Germany ,0–0 (a.e.t.), Mexico,['4–1'],21 June 1986,16:00,1986
Argentina ,2–1, England,[],22 June 1986,12:00,1986
